2024-03-14 18:51:08,046 task INFO:select dataset: mnist
2024-03-14 18:51:08,589 task INFO:select model: rnn, model args: {'class_num': 10}
2024-03-14 18:51:08,609 task INFO:optimizer: adam, learning rate: 0.001
2024-03-14 18:51:10,137 task INFO:start train...
2024-03-14 18:51:10,139 task DEBUG:epoch_0 start...
2024-03-14 18:51:10,202 task INFO:Epoch: 1, loss = 2.302665
2024-03-14 18:51:10,362 task INFO:Epoch: 1, loss = 2.302798
2024-03-14 18:51:10,488 task INFO:Epoch: 1, loss = 2.302397
2024-03-14 18:51:10,616 task INFO:Epoch: 1, loss = 2.301593
2024-03-14 18:51:10,749 task INFO:Epoch: 1, loss = 2.299837
2024-03-14 18:51:10,860 task INFO:Epoch: 1, loss = 2.297252
2024-03-14 18:51:10,983 task INFO:Epoch: 1, loss = 2.295787
2024-03-14 18:51:11,105 task INFO:Epoch: 1, loss = 2.292482
2024-03-14 18:51:11,219 task INFO:Epoch: 1, loss = 2.290233
2024-03-14 18:51:11,333 task INFO:Epoch: 1, loss = 2.285581
2024-03-14 18:51:11,452 task INFO:Epoch: 1, loss = 2.283481
2024-03-14 18:51:11,571 task INFO:Epoch: 1, loss = 2.280595
2024-03-14 18:51:11,684 task INFO:Epoch: 1, loss = 2.278125
2024-03-14 18:51:11,808 task INFO:Epoch: 1, loss = 2.275086
2024-03-14 18:51:11,931 task INFO:Epoch: 1, loss = 2.272175
2024-03-14 18:51:12,048 task INFO:Epoch: 1, loss = 2.268961
2024-03-14 18:51:12,173 task INFO:Epoch: 1, loss = 2.267246
2024-03-14 18:51:12,298 task INFO:Epoch: 1, loss = 2.264276
2024-03-14 18:51:12,420 task INFO:Epoch: 1, loss = 2.259848
2024-03-14 18:51:12,544 task INFO:Epoch: 1, loss = 2.256683
2024-03-14 18:51:12,664 task INFO:Epoch: 1, loss = 2.255741
2024-03-14 18:51:12,789 task INFO:Epoch: 1, loss = 2.252555
2024-03-14 18:51:12,909 task INFO:Epoch: 1, loss = 2.251367
2024-03-14 18:51:13,030 task INFO:Epoch: 1, loss = 2.248606
2024-03-14 18:51:13,149 task INFO:Epoch: 1, loss = 2.247515
2024-03-14 18:51:13,348 task INFO:Epoch: 1, loss = 2.245088
2024-03-14 18:51:13,461 task INFO:Epoch: 1, loss = 2.243409
2024-03-14 18:51:13,590 task INFO:Epoch: 1, loss = 2.240404
2024-03-14 18:51:13,713 task INFO:Epoch: 1, loss = 2.238541
2024-03-14 18:51:13,832 task INFO:Epoch: 1, loss = 2.236906
2024-03-14 18:51:13,949 task INFO:Epoch: 1, loss = 2.235127
2024-03-14 18:51:14,068 task INFO:Epoch: 1, loss = 2.234445
2024-03-14 18:51:14,178 task INFO:Epoch: 1, loss = 2.229776
2024-03-14 18:51:14,299 task INFO:Epoch: 1, loss = 2.227004
2024-03-14 18:51:14,415 task INFO:Epoch: 1, loss = 2.225854
2024-03-14 18:51:14,529 task INFO:Epoch: 1, loss = 2.222636
2024-03-14 18:51:14,658 task INFO:Epoch: 1, loss = 2.224564
2024-03-14 18:51:14,779 task INFO:Epoch: 1, loss = 2.218004
2024-03-14 18:51:14,888 task INFO:Epoch: 1, loss = 2.218050
2024-03-14 18:51:15,009 task INFO:Epoch: 1, loss = 2.213593
2024-03-14 18:51:15,130 task INFO:Epoch: 1, loss = 2.211853
2024-03-14 18:51:15,241 task INFO:Epoch: 1, loss = 2.211555
2024-03-14 18:51:15,361 task INFO:Epoch: 1, loss = 2.208398
2024-03-14 18:51:15,471 task INFO:Epoch: 1, loss = 2.204906
2024-03-14 18:51:15,596 task INFO:Epoch: 1, loss = 2.204766
2024-03-14 18:51:15,716 task INFO:Epoch: 1, loss = 2.201440
2024-03-14 18:51:15,825 task INFO:Epoch: 1, loss = 2.200101
2024-03-14 18:51:15,940 task INFO:Epoch: 1, loss = 2.197075
2024-03-14 18:51:16,058 task INFO:Epoch: 1, loss = 2.195747
2024-03-14 18:51:16,170 task INFO:Epoch: 1, loss = 2.192676
2024-03-14 18:51:16,292 task INFO:Epoch: 1, loss = 2.190313
2024-03-14 18:51:16,406 task INFO:Epoch: 1, loss = 2.188977
2024-03-14 18:51:16,513 task INFO:Epoch: 1, loss = 2.185527
2024-03-14 18:51:16,639 task INFO:Epoch: 1, loss = 2.182107
2024-03-14 18:51:16,762 task INFO:Epoch: 1, loss = 2.179801
2024-03-14 18:51:16,879 task INFO:Epoch: 1, loss = 2.174619
