2024-03-13 17:34:55,094 task INFO:select dataset: mnist
2024-03-13 17:34:55,469 task INFO:select model: lstm, model args: {'class_num': 10}
2024-03-13 17:34:55,471 task INFO:optimizer: adam, learning rate: 0.001
2024-03-13 17:34:56,520 task INFO:start train...
2024-03-13 17:34:56,522 task DEBUG:epoch_0 start...
2024-03-13 17:34:56,641 task INFO:Epoch: 1, loss = 2.308058
2024-03-13 17:34:56,913 task INFO:Epoch: 1, loss = 2.304445
2024-03-13 17:34:57,163 task INFO:Epoch: 1, loss = 2.304497
2024-03-13 17:34:57,373 task INFO:Epoch: 1, loss = 2.300338
2024-03-13 17:34:57,569 task INFO:Epoch: 1, loss = 2.299191
2024-03-13 17:34:57,788 task INFO:Epoch: 1, loss = 2.298074
2024-03-13 17:34:57,988 task INFO:Epoch: 1, loss = 2.294742
2024-03-13 17:34:58,245 task INFO:Epoch: 1, loss = 2.293070
2024-03-13 17:34:58,468 task INFO:Epoch: 1, loss = 2.287295
2024-03-13 17:34:58,673 task INFO:Epoch: 1, loss = 2.283319
2024-03-13 17:34:58,868 task INFO:Epoch: 1, loss = 2.274685
2024-03-13 17:34:59,070 task INFO:Epoch: 1, loss = 2.271266
2024-03-13 17:34:59,280 task INFO:Epoch: 1, loss = 2.264443
2024-03-13 17:34:59,534 task INFO:Epoch: 1, loss = 2.251541
2024-03-13 17:34:59,760 task INFO:Epoch: 1, loss = 2.226474
2024-03-13 17:34:59,984 task INFO:Epoch: 1, loss = 2.197617
2024-03-13 17:35:00,195 task INFO:Epoch: 1, loss = 2.169316
2024-03-13 17:35:00,413 task INFO:Epoch: 1, loss = 2.162813
2024-03-13 17:35:00,661 task INFO:Epoch: 1, loss = 2.089242
2024-03-13 17:35:00,888 task INFO:Epoch: 1, loss = 2.068004
2024-03-13 17:35:01,098 task INFO:Epoch: 1, loss = 2.010102
2024-03-13 17:35:01,319 task INFO:Epoch: 1, loss = 1.977180
2024-03-13 17:35:01,541 task INFO:Epoch: 1, loss = 1.958348
2024-03-13 17:35:01,753 task INFO:Epoch: 1, loss = 1.952603
2024-03-13 17:35:02,008 task INFO:Epoch: 1, loss = 1.857872
2024-03-13 17:35:02,284 task INFO:Epoch: 1, loss = 1.857302
2024-03-13 17:35:02,495 task INFO:Epoch: 1, loss = 1.793666
2024-03-13 17:35:02,724 task INFO:Epoch: 1, loss = 1.814506
2024-03-13 17:35:03,006 task INFO:Epoch: 1, loss = 1.756544
2024-03-13 17:35:03,280 task INFO:Epoch: 1, loss = 1.788725
2024-03-13 17:35:03,583 task INFO:Epoch: 1, loss = 1.684193
2024-03-13 17:35:03,854 task INFO:Epoch: 1, loss = 1.727658
