2024-03-14 18:55:39,329 task INFO:select dataset: mnist
2024-03-14 18:55:39,717 task INFO:select model: rnn, model args: {'class_num': 10}
2024-03-14 18:55:39,719 task INFO:optimizer: adam, learning rate: 0.001
2024-03-14 18:55:40,791 task INFO:start train...
2024-03-14 18:55:40,793 task DEBUG:epoch_0 start...
2024-03-14 18:55:40,811 task INFO:Epoch: 1, loss = 2.303845
2024-03-14 18:55:40,856 task INFO:Epoch: 1, loss = 2.302972
2024-03-14 18:55:40,873 task INFO:Epoch: 1, loss = 2.302525
2024-03-14 18:55:40,889 task INFO:Epoch: 1, loss = 2.302674
2024-03-14 18:55:40,905 task INFO:Epoch: 1, loss = 2.302644
2024-03-14 18:55:40,921 task INFO:Epoch: 1, loss = 2.302665
2024-03-14 18:55:40,938 task INFO:Epoch: 1, loss = 2.300643
2024-03-14 18:55:40,963 task INFO:Epoch: 1, loss = 2.299653
2024-03-14 18:55:40,980 task INFO:Epoch: 1, loss = 2.298795
2024-03-14 18:55:40,998 task INFO:Epoch: 1, loss = 2.298003
2024-03-14 18:55:41,015 task INFO:Epoch: 1, loss = 2.295927
2024-03-14 18:55:41,032 task INFO:Epoch: 1, loss = 2.295490
2024-03-14 18:55:41,052 task INFO:Epoch: 1, loss = 2.294034
2024-03-14 18:55:41,069 task INFO:Epoch: 1, loss = 2.292041
2024-03-14 18:55:41,086 task INFO:Epoch: 1, loss = 2.290438
2024-03-14 18:55:41,103 task INFO:Epoch: 1, loss = 2.288399
2024-03-14 18:55:41,120 task INFO:Epoch: 1, loss = 2.287272
2024-03-14 18:55:41,136 task INFO:Epoch: 1, loss = 2.284112
2024-03-14 18:55:41,152 task INFO:Epoch: 1, loss = 2.281792
2024-03-14 18:55:41,167 task INFO:Epoch: 1, loss = 2.278966
2024-03-14 18:55:41,184 task INFO:Epoch: 1, loss = 2.277341
2024-03-14 18:55:41,199 task INFO:Epoch: 1, loss = 2.274275
2024-03-14 18:55:41,215 task INFO:Epoch: 1, loss = 2.271554
2024-03-14 18:55:41,231 task INFO:Epoch: 1, loss = 2.270124
2024-03-14 18:55:41,247 task INFO:Epoch: 1, loss = 2.266957
2024-03-14 18:55:41,322 task INFO:Epoch: 1, loss = 2.264154
2024-03-14 18:55:41,341 task INFO:Epoch: 1, loss = 2.262761
2024-03-14 18:55:41,360 task INFO:Epoch: 1, loss = 2.259197
2024-03-14 18:55:41,378 task INFO:Epoch: 1, loss = 2.256283
2024-03-14 18:55:41,397 task INFO:Epoch: 1, loss = 2.255878
2024-03-14 18:55:41,413 task INFO:Epoch: 1, loss = 2.252490
2024-03-14 18:55:41,429 task INFO:Epoch: 1, loss = 2.249817
2024-03-14 18:55:41,446 task INFO:Epoch: 1, loss = 2.244201
2024-03-14 18:55:41,462 task INFO:Epoch: 1, loss = 2.241788
2024-03-14 18:55:41,478 task INFO:Epoch: 1, loss = 2.238990
2024-03-14 18:55:41,494 task INFO:Epoch: 1, loss = 2.235503
2024-03-14 18:55:41,510 task INFO:Epoch: 1, loss = 2.234761
2024-03-14 18:55:41,526 task INFO:Epoch: 1, loss = 2.228531
2024-03-14 18:55:41,542 task INFO:Epoch: 1, loss = 2.226598
2024-03-14 18:55:41,559 task INFO:Epoch: 1, loss = 2.222905
2024-03-14 18:55:41,576 task INFO:Epoch: 1, loss = 2.219054
2024-03-14 18:55:41,593 task INFO:Epoch: 1, loss = 2.216844
2024-03-14 18:55:41,612 task INFO:Epoch: 1, loss = 2.214807
2024-03-14 18:55:41,629 task INFO:Epoch: 1, loss = 2.211742
