2024-03-15 13:12:14,766 task INFO:select dataset: mnist
2024-03-15 13:12:15,194 task INFO:select model: cnn, model args: {'class_num': 10}
2024-03-15 13:12:15,195 task INFO:optimizer: adam, learning rate: 0.001
2024-03-15 13:12:16,353 task INFO:start train...
2024-03-15 13:12:16,354 task DEBUG:epoch_0 start...
2024-03-15 13:12:16,412 task INFO:Epoch: 1, loss = 2.303539
2024-03-15 13:12:16,498 task INFO:Epoch: 1, loss = 2.308772
2024-03-15 13:12:16,531 task INFO:Epoch: 1, loss = 2.305867
2024-03-15 13:12:16,566 task INFO:Epoch: 1, loss = 2.309037
2024-03-15 13:12:16,602 task INFO:Epoch: 1, loss = 2.303267
2024-03-15 13:12:16,639 task INFO:Epoch: 1, loss = 2.310466
2024-03-15 13:12:16,678 task INFO:Epoch: 1, loss = 2.305551
2024-03-15 13:12:16,721 task INFO:Epoch: 1, loss = 2.307124
2024-03-15 13:12:16,761 task INFO:Epoch: 1, loss = 2.309101
2024-03-15 13:12:16,797 task INFO:Epoch: 1, loss = 2.307572
2024-03-15 13:12:16,830 task INFO:Epoch: 1, loss = 2.306258
2024-03-15 13:12:16,862 task INFO:Epoch: 1, loss = 2.301500
2024-03-15 13:12:16,954 task INFO:Epoch: 1, loss = 2.305408
2024-03-15 13:12:17,010 task INFO:Epoch: 1, loss = 2.305704
2024-03-15 13:12:17,059 task INFO:Epoch: 1, loss = 2.304606
2024-03-15 13:12:17,162 task INFO:Epoch: 1, loss = 2.303336
2024-03-15 13:12:17,217 task INFO:Epoch: 1, loss = 2.305875
2024-03-15 13:12:17,283 task INFO:Epoch: 1, loss = 2.303062
2024-03-15 13:12:17,339 task INFO:Epoch: 1, loss = 2.302752
2024-03-15 13:12:17,379 task INFO:Epoch: 1, loss = 2.300604
2024-03-15 13:12:17,420 task INFO:Epoch: 1, loss = 2.304676
2024-03-15 13:12:17,461 task INFO:Epoch: 1, loss = 2.304962
2024-03-15 13:12:17,502 task INFO:Epoch: 1, loss = 2.299288
2024-03-15 13:12:17,543 task INFO:Epoch: 1, loss = 2.299021
2024-03-15 13:12:17,584 task INFO:Epoch: 1, loss = 2.298868
2024-03-15 13:12:17,673 task INFO:Epoch: 1, loss = 2.295711
2024-03-15 13:12:17,716 task INFO:Epoch: 1, loss = 2.299104
2024-03-15 13:12:17,759 task INFO:Epoch: 1, loss = 2.297109
2024-03-15 13:12:17,828 task INFO:Epoch: 1, loss = 2.294811
2024-03-15 13:12:17,889 task INFO:Epoch: 1, loss = 2.293010
2024-03-15 13:12:17,956 task INFO:Epoch: 1, loss = 2.293087
2024-03-15 13:12:18,006 task INFO:Epoch: 1, loss = 2.291486
2024-03-15 13:12:18,048 task INFO:Epoch: 1, loss = 2.290216
2024-03-15 13:12:18,091 task INFO:Epoch: 1, loss = 2.288592
2024-03-15 13:12:18,132 task INFO:Epoch: 1, loss = 2.289248
2024-03-15 13:12:18,172 task INFO:Epoch: 1, loss = 2.283714
2024-03-15 13:12:18,213 task INFO:Epoch: 1, loss = 2.285925
2024-03-15 13:12:18,253 task INFO:Epoch: 1, loss = 2.277716
2024-03-15 13:12:18,293 task INFO:Epoch: 1, loss = 2.275199
2024-03-15 13:12:18,332 task INFO:Epoch: 1, loss = 2.272226
2024-03-15 13:12:18,372 task INFO:Epoch: 1, loss = 2.270661
2024-03-15 13:12:18,413 task INFO:Epoch: 1, loss = 2.269739
2024-03-15 13:12:18,455 task INFO:Epoch: 1, loss = 2.268627
2024-03-15 13:12:18,497 task INFO:Epoch: 1, loss = 2.259587
2024-03-15 13:12:18,543 task INFO:Epoch: 1, loss = 2.260447
