2024-03-14 19:54:07,024 task INFO:select dataset: mnist
2024-03-14 19:54:07,423 task INFO:select model: lstm, model args: {'class_num': 10}
2024-03-14 19:54:07,428 task INFO:optimizer: adam, learning rate: 0.001
2024-03-14 19:54:08,478 task INFO:start train...
2024-03-14 19:54:08,479 task DEBUG:epoch_0 start...
2024-03-14 19:54:08,502 task INFO:Epoch: 1, loss = 2.307123
2024-03-14 19:54:08,557 task INFO:Epoch: 1, loss = 2.274390
2024-03-14 19:54:08,582 task INFO:Epoch: 1, loss = 2.245327
2024-03-14 19:54:08,604 task INFO:Epoch: 1, loss = 2.213028
2024-03-14 19:54:08,626 task INFO:Epoch: 1, loss = 2.174980
2024-03-14 19:54:08,648 task INFO:Epoch: 1, loss = 2.118136
2024-03-14 19:54:08,671 task INFO:Epoch: 1, loss = 2.096375
2024-03-14 19:54:08,694 task INFO:Epoch: 1, loss = 2.068122
2024-03-14 19:54:08,718 task INFO:Epoch: 1, loss = 2.002539
2024-03-14 19:54:08,741 task INFO:Epoch: 1, loss = 1.933108
2024-03-14 19:54:08,764 task INFO:Epoch: 1, loss = 1.858536
2024-03-14 19:54:08,786 task INFO:Epoch: 1, loss = 1.835966
2024-03-14 19:54:08,807 task INFO:Epoch: 1, loss = 1.789311
2024-03-14 19:54:08,829 task INFO:Epoch: 1, loss = 1.711343
2024-03-14 19:54:08,853 task INFO:Epoch: 1, loss = 1.700949
2024-03-14 19:54:08,878 task INFO:Epoch: 1, loss = 1.622070
2024-03-14 19:54:08,901 task INFO:Epoch: 1, loss = 1.546434
2024-03-14 19:54:08,926 task INFO:Epoch: 1, loss = 1.528699
2024-03-14 19:54:08,949 task INFO:Epoch: 1, loss = 1.399883
2024-03-14 19:54:08,974 task INFO:Epoch: 1, loss = 1.315468
2024-03-14 19:54:08,998 task INFO:Epoch: 1, loss = 1.276299
2024-03-14 19:54:09,025 task INFO:Epoch: 1, loss = 1.229147
2024-03-14 19:54:09,054 task INFO:Epoch: 1, loss = 1.154322
2024-03-14 19:54:09,076 task INFO:Epoch: 1, loss = 1.151624
2024-03-14 19:54:09,098 task INFO:Epoch: 1, loss = 1.083763
2024-03-14 19:54:09,186 task INFO:Epoch: 1, loss = 1.082526
2024-03-14 19:54:09,215 task INFO:Epoch: 1, loss = 1.032061
2024-03-14 19:54:09,239 task INFO:Epoch: 1, loss = 0.922207
2024-03-14 19:54:09,264 task INFO:Epoch: 1, loss = 0.913686
2024-03-14 19:54:09,286 task INFO:Epoch: 1, loss = 1.025318
2024-03-14 19:54:09,310 task INFO:Epoch: 1, loss = 0.972383
2024-03-14 19:54:09,331 task INFO:Epoch: 1, loss = 0.894702
2024-03-14 19:54:09,356 task INFO:Epoch: 1, loss = 0.823229
2024-03-14 19:54:09,379 task INFO:Epoch: 1, loss = 0.751412
2024-03-14 19:54:09,404 task INFO:Epoch: 1, loss = 0.751350
2024-03-14 19:54:09,427 task INFO:Epoch: 1, loss = 0.712733
2024-03-14 19:54:09,453 task INFO:Epoch: 1, loss = 0.773663
2024-03-14 19:54:09,476 task INFO:Epoch: 1, loss = 0.684012
2024-03-14 19:54:09,501 task INFO:Epoch: 1, loss = 0.702671
2024-03-14 19:54:09,523 task INFO:Epoch: 1, loss = 0.629581
2024-03-14 19:54:09,547 task INFO:Epoch: 1, loss = 0.703866
