2024-03-18 14:51:01,056 task INFO:select dataset: mnist
2024-03-18 14:51:01,435 task INFO:select model: cnn, model args: {'class_num': 10}
2024-03-18 14:51:01,438 task INFO:optimizer: adam, learning rate: 0.001
2024-03-18 14:51:02,687 task INFO:start train...
2024-03-18 14:51:02,689 task DEBUG:epoch_0 start...
2024-03-18 14:51:02,721 task INFO:Epoch: 1, loss = 2.301517
2024-03-18 14:51:02,822 task INFO:Epoch: 1, loss = 2.261150
2024-03-18 14:51:02,879 task INFO:Epoch: 1, loss = 2.231546
2024-03-18 14:51:02,940 task INFO:Epoch: 1, loss = 2.151964
2024-03-18 14:51:02,989 task INFO:Epoch: 1, loss = 2.134894
2024-03-18 14:51:03,045 task INFO:Epoch: 1, loss = 2.033198
2024-03-18 14:51:03,088 task INFO:Epoch: 1, loss = 1.925135
2024-03-18 14:51:03,168 task INFO:Epoch: 1, loss = 1.832933
2024-03-18 14:51:03,214 task INFO:Epoch: 1, loss = 1.785808
2024-03-18 14:51:03,263 task INFO:Epoch: 1, loss = 1.619380
2024-03-18 14:51:03,315 task INFO:Epoch: 1, loss = 1.479114
2024-03-18 14:51:03,361 task INFO:Epoch: 1, loss = 1.361891
2024-03-18 14:51:03,413 task INFO:Epoch: 1, loss = 1.148400
2024-03-18 14:51:03,462 task INFO:Epoch: 1, loss = 0.965459
2024-03-18 14:51:03,505 task INFO:Epoch: 1, loss = 0.903180
2024-03-18 14:51:03,548 task INFO:Epoch: 1, loss = 0.920675
2024-03-18 14:51:03,609 task INFO:Epoch: 1, loss = 0.694603
2024-03-18 14:51:03,660 task INFO:Epoch: 1, loss = 0.705690
2024-03-18 14:51:03,715 task INFO:Epoch: 1, loss = 0.797941
2024-03-18 14:51:03,767 task INFO:Epoch: 1, loss = 0.754395
2024-03-18 14:51:03,820 task INFO:Epoch: 1, loss = 0.740010
2024-03-18 14:51:03,867 task INFO:Epoch: 1, loss = 0.685132
2024-03-18 14:51:03,917 task INFO:Epoch: 1, loss = 0.680997
2024-03-18 14:51:03,964 task INFO:Epoch: 1, loss = 0.779686
2024-03-18 14:51:04,012 task INFO:Epoch: 1, loss = 0.499006
2024-03-18 14:51:04,058 task INFO:Epoch: 1, loss = 0.617893
2024-03-18 14:51:04,103 task INFO:Epoch: 1, loss = 0.576303
2024-03-18 14:51:04,147 task INFO:Epoch: 1, loss = 0.662808
2024-03-18 14:51:04,194 task INFO:Epoch: 1, loss = 0.538070
2024-03-18 14:51:04,240 task INFO:Epoch: 1, loss = 0.607828
2024-03-18 14:51:04,290 task INFO:Epoch: 1, loss = 0.354948
2024-03-18 14:51:04,338 task INFO:Epoch: 1, loss = 0.571072
2024-03-18 14:51:04,388 task INFO:Epoch: 1, loss = 0.478958
2024-03-18 14:51:04,435 task INFO:Epoch: 1, loss = 0.586414
2024-03-18 14:51:04,488 task INFO:Epoch: 1, loss = 0.445712
2024-03-18 14:51:04,533 task INFO:Epoch: 1, loss = 0.317829
2024-03-18 14:51:04,590 task INFO:Epoch: 1, loss = 0.482431
2024-03-18 14:51:04,646 task INFO:Epoch: 1, loss = 0.508295
2024-03-18 14:51:04,702 task INFO:Epoch: 1, loss = 0.528266
2024-03-18 14:51:04,753 task INFO:Epoch: 1, loss = 0.494428
2024-03-18 14:51:04,798 task INFO:Epoch: 1, loss = 0.531286
2024-03-18 14:51:04,849 task INFO:Epoch: 1, loss = 0.436646
2024-03-18 14:51:04,902 task INFO:Epoch: 1, loss = 0.268983
2024-03-18 14:51:04,956 task INFO:Epoch: 1, loss = 0.385736
2024-03-18 14:51:05,004 task INFO:Epoch: 1, loss = 0.364970
2024-03-18 14:51:05,053 task INFO:Epoch: 1, loss = 0.537940
2024-03-18 14:51:05,096 task INFO:Epoch: 1, loss = 0.315278
2024-03-18 14:51:05,140 task INFO:Epoch: 1, loss = 0.267956
2024-03-18 14:51:05,185 task INFO:Epoch: 1, loss = 0.365394
2024-03-18 14:51:05,232 task INFO:Epoch: 1, loss = 0.341091
2024-03-18 14:51:05,284 task INFO:Epoch: 1, loss = 0.400488
2024-03-18 14:51:05,335 task INFO:Epoch: 1, loss = 0.293971
2024-03-18 14:51:05,382 task INFO:Epoch: 1, loss = 0.253619
2024-03-18 14:51:05,436 task INFO:Epoch: 1, loss = 0.502510
2024-03-18 14:51:05,484 task INFO:Epoch: 1, loss = 0.420822
2024-03-18 14:51:05,533 task INFO:Epoch: 1, loss = 0.374732
2024-03-18 14:51:05,589 task INFO:Epoch: 1, loss = 0.496752
2024-03-18 14:51:05,639 task INFO:Epoch: 1, loss = 0.338104
2024-03-18 14:51:05,685 task INFO:Epoch: 1, loss = 0.363473
2024-03-18 14:51:05,737 task INFO:Epoch: 1, loss = 0.270457
2024-03-18 14:51:05,786 task INFO:Epoch: 1, loss = 0.337889
2024-03-18 14:51:05,832 task INFO:Epoch: 1, loss = 0.353949
2024-03-18 14:51:05,881 task INFO:Epoch: 1, loss = 0.305888
2024-03-18 14:51:05,935 task INFO:Epoch: 1, loss = 0.319672
2024-03-18 14:51:05,989 task INFO:Epoch: 1, loss = 0.444418
2024-03-18 14:51:06,040 task INFO:Epoch: 1, loss = 0.197916
2024-03-18 14:51:06,091 task INFO:Epoch: 1, loss = 0.318715
2024-03-18 14:51:06,134 task INFO:Epoch: 1, loss = 0.303807
2024-03-18 14:51:06,183 task INFO:Epoch: 1, loss = 0.516844
2024-03-18 14:51:06,239 task INFO:Epoch: 1, loss = 0.479228
2024-03-18 14:51:06,316 task INFO:Epoch: 1, loss = 0.238179
2024-03-18 14:51:06,403 task INFO:Epoch: 1, loss = 0.292648
2024-03-18 14:51:06,471 task INFO:Epoch: 1, loss = 0.300620
2024-03-18 14:51:06,535 task INFO:Epoch: 1, loss = 0.421844
2024-03-18 14:51:06,634 task INFO:Epoch: 1, loss = 0.286181
2024-03-18 14:51:06,736 task INFO:Epoch: 1, loss = 0.215415
2024-03-18 14:51:06,804 task INFO:Epoch: 1, loss = 0.284629
2024-03-18 14:51:06,870 task INFO:Epoch: 1, loss = 0.190310
2024-03-18 14:51:06,952 task INFO:Epoch: 1, loss = 0.240822
2024-03-18 14:51:07,014 task INFO:Epoch: 1, loss = 0.307471
2024-03-18 14:51:07,075 task INFO:Epoch: 1, loss = 0.333348
2024-03-18 14:51:07,138 task INFO:Epoch: 1, loss = 0.138635
2024-03-18 14:51:07,203 task INFO:Epoch: 1, loss = 0.153788
2024-03-18 14:51:07,267 task INFO:Epoch: 1, loss = 0.287097
2024-03-18 14:51:07,333 task INFO:Epoch: 1, loss = 0.236631
2024-03-18 14:51:07,395 task INFO:Epoch: 1, loss = 0.211140
2024-03-18 14:51:07,461 task INFO:Epoch: 1, loss = 0.198969
