2024-03-13 17:33:59,292 task INFO:select dataset: mnist
2024-03-13 17:33:59,692 task INFO:select model: cnn, model args: {'class_num': 10}
2024-03-13 17:33:59,693 task INFO:optimizer: adam, learning rate: 0.001
2024-03-13 17:34:00,734 task INFO:start train...
2024-03-13 17:34:00,736 task DEBUG:epoch_0 start...
2024-03-13 17:34:00,789 task INFO:Epoch: 1, loss = 2.309327
2024-03-13 17:34:00,872 task INFO:Epoch: 1, loss = 2.305389
2024-03-13 17:34:00,912 task INFO:Epoch: 1, loss = 2.303876
2024-03-13 17:34:00,949 task INFO:Epoch: 1, loss = 2.302146
2024-03-13 17:34:00,989 task INFO:Epoch: 1, loss = 2.301524
2024-03-13 17:34:01,031 task INFO:Epoch: 1, loss = 2.305131
2024-03-13 17:34:01,071 task INFO:Epoch: 1, loss = 2.299231
2024-03-13 17:34:01,114 task INFO:Epoch: 1, loss = 2.300296
2024-03-13 17:34:01,152 task INFO:Epoch: 1, loss = 2.294271
2024-03-13 17:34:01,192 task INFO:Epoch: 1, loss = 2.295965
2024-03-13 17:34:01,229 task INFO:Epoch: 1, loss = 2.289365
2024-03-13 17:34:01,272 task INFO:Epoch: 1, loss = 2.290084
2024-03-13 17:34:01,308 task INFO:Epoch: 1, loss = 2.290509
2024-03-13 17:34:01,344 task INFO:Epoch: 1, loss = 2.285534
2024-03-13 17:34:01,382 task INFO:Epoch: 1, loss = 2.282117
2024-03-13 17:34:01,416 task INFO:Epoch: 1, loss = 2.281910
2024-03-13 17:34:01,451 task INFO:Epoch: 1, loss = 2.275988
2024-03-13 17:34:01,491 task INFO:Epoch: 1, loss = 2.272616
2024-03-13 17:34:01,530 task INFO:Epoch: 1, loss = 2.274331
2024-03-13 17:34:01,568 task INFO:Epoch: 1, loss = 2.268291
2024-03-13 17:34:01,602 task INFO:Epoch: 1, loss = 2.265951
2024-03-13 17:34:01,637 task INFO:Epoch: 1, loss = 2.264362
2024-03-13 17:34:01,672 task INFO:Epoch: 1, loss = 2.254675
2024-03-13 17:34:01,706 task INFO:Epoch: 1, loss = 2.248807
2024-03-13 17:34:01,745 task INFO:Epoch: 1, loss = 2.244068
2024-03-13 17:34:01,836 task INFO:Epoch: 1, loss = 2.238729
2024-03-13 17:34:01,878 task INFO:Epoch: 1, loss = 2.237143
2024-03-13 17:34:01,917 task INFO:Epoch: 1, loss = 2.223560
2024-03-13 17:34:01,965 task INFO:Epoch: 1, loss = 2.225513
2024-03-13 17:34:02,005 task INFO:Epoch: 1, loss = 2.232460
2024-03-13 17:34:02,045 task INFO:Epoch: 1, loss = 2.217052
2024-03-13 17:34:02,084 task INFO:Epoch: 1, loss = 2.206160
2024-03-13 17:34:02,123 task INFO:Epoch: 1, loss = 2.193806
2024-03-13 17:34:02,163 task INFO:Epoch: 1, loss = 2.196039
2024-03-13 17:34:02,199 task INFO:Epoch: 1, loss = 2.189845
2024-03-13 17:34:02,237 task INFO:Epoch: 1, loss = 2.164922
2024-03-13 17:34:02,278 task INFO:Epoch: 1, loss = 2.165718
2024-03-13 17:34:02,315 task INFO:Epoch: 1, loss = 2.144738
2024-03-13 17:34:02,350 task INFO:Epoch: 1, loss = 2.144602
2024-03-13 17:34:02,387 task INFO:Epoch: 1, loss = 2.130851
2024-03-13 17:34:02,425 task INFO:Epoch: 1, loss = 2.130707
2024-03-13 17:34:02,462 task INFO:Epoch: 1, loss = 2.108830
