2024-03-13 17:36:38,868 task INFO:select dataset: mnist
2024-03-13 17:36:39,265 task INFO:select model: rnn, model args: {'class_num': 10}
2024-03-13 17:36:39,267 task INFO:optimizer: adam, learning rate: 0.001
2024-03-13 17:36:40,302 task INFO:start train...
2024-03-13 17:36:40,304 task DEBUG:epoch_0 start...
2024-03-13 17:36:40,352 task INFO:Epoch: 1, loss = 2.301146
2024-03-13 17:36:40,467 task INFO:Epoch: 1, loss = 2.294460
2024-03-13 17:36:40,582 task INFO:Epoch: 1, loss = 2.285146
2024-03-13 17:36:40,677 task INFO:Epoch: 1, loss = 2.272845
2024-03-13 17:36:40,761 task INFO:Epoch: 1, loss = 2.251147
2024-03-13 17:36:40,849 task INFO:Epoch: 1, loss = 2.220963
2024-03-13 17:36:40,943 task INFO:Epoch: 1, loss = 2.175236
2024-03-13 17:36:41,043 task INFO:Epoch: 1, loss = 2.131361
2024-03-13 17:36:41,161 task INFO:Epoch: 1, loss = 2.056353
2024-03-13 17:36:41,266 task INFO:Epoch: 1, loss = 1.968144
2024-03-13 17:36:41,369 task INFO:Epoch: 1, loss = 1.914040
2024-03-13 17:36:41,466 task INFO:Epoch: 1, loss = 1.850004
2024-03-13 17:36:41,551 task INFO:Epoch: 1, loss = 1.864318
2024-03-13 17:36:41,639 task INFO:Epoch: 1, loss = 1.746071
2024-03-13 17:36:41,726 task INFO:Epoch: 1, loss = 1.669816
2024-03-13 17:36:41,811 task INFO:Epoch: 1, loss = 1.692739
2024-03-13 17:36:41,896 task INFO:Epoch: 1, loss = 1.655686
2024-03-13 17:36:41,985 task INFO:Epoch: 1, loss = 1.617007
2024-03-13 17:36:42,073 task INFO:Epoch: 1, loss = 1.539480
2024-03-13 17:36:42,164 task INFO:Epoch: 1, loss = 1.483370
2024-03-13 17:36:42,254 task INFO:Epoch: 1, loss = 1.452633
2024-03-13 17:36:42,357 task INFO:Epoch: 1, loss = 1.407516
2024-03-13 17:36:42,459 task INFO:Epoch: 1, loss = 1.465895
2024-03-13 17:36:42,557 task INFO:Epoch: 1, loss = 1.444284
2024-03-13 17:36:42,641 task INFO:Epoch: 1, loss = 1.348690
2024-03-13 17:36:42,784 task INFO:Epoch: 1, loss = 1.363038
2024-03-13 17:36:42,868 task INFO:Epoch: 1, loss = 1.376806
2024-03-13 17:36:42,952 task INFO:Epoch: 1, loss = 1.355521
2024-03-13 17:36:43,038 task INFO:Epoch: 1, loss = 1.312796
2024-03-13 17:36:43,132 task INFO:Epoch: 1, loss = 1.359161
2024-03-13 17:36:43,219 task INFO:Epoch: 1, loss = 1.328855
2024-03-13 17:36:43,311 task INFO:Epoch: 1, loss = 1.343602
2024-03-13 17:36:43,396 task INFO:Epoch: 1, loss = 1.275465
2024-03-13 17:36:43,480 task INFO:Epoch: 1, loss = 1.205464
2024-03-13 17:36:43,586 task INFO:Epoch: 1, loss = 1.206629
2024-03-13 17:36:43,688 task INFO:Epoch: 1, loss = 1.189108
2024-03-13 17:36:43,788 task INFO:Epoch: 1, loss = 1.337191
2024-03-13 17:36:43,872 task INFO:Epoch: 1, loss = 1.227895
2024-03-13 17:36:43,959 task INFO:Epoch: 1, loss = 1.222256
2024-03-13 17:36:44,045 task INFO:Epoch: 1, loss = 1.122962
2024-03-13 17:36:44,135 task INFO:Epoch: 1, loss = 1.228985
2024-03-13 17:36:44,224 task INFO:Epoch: 1, loss = 1.267049
2024-03-13 17:36:44,313 task INFO:Epoch: 1, loss = 1.101504
2024-03-13 17:36:44,397 task INFO:Epoch: 1, loss = 1.173490
2024-03-13 17:36:44,482 task INFO:Epoch: 1, loss = 1.141054
2024-03-13 17:36:44,569 task INFO:Epoch: 1, loss = 1.117170
2024-03-13 17:36:44,652 task INFO:Epoch: 1, loss = 1.184411
2024-03-13 17:36:44,737 task INFO:Epoch: 1, loss = 1.147330
2024-03-13 17:36:44,840 task INFO:Epoch: 1, loss = 1.123044
2024-03-13 17:36:44,942 task INFO:Epoch: 1, loss = 1.168840
2024-03-13 17:36:45,043 task INFO:Epoch: 1, loss = 1.075324
2024-03-13 17:36:45,138 task INFO:Epoch: 1, loss = 1.119603
2024-03-13 17:36:45,235 task INFO:Epoch: 1, loss = 1.096547
2024-03-13 17:36:45,339 task INFO:Epoch: 1, loss = 1.004874
2024-03-13 17:36:45,431 task INFO:Epoch: 1, loss = 1.044747
2024-03-13 17:36:45,517 task INFO:Epoch: 1, loss = 0.992829
2024-03-13 17:36:45,614 task INFO:Epoch: 1, loss = 0.949135
2024-03-13 17:36:45,704 task INFO:Epoch: 1, loss = 0.924205
2024-03-13 17:36:45,778 task INFO:Epoch: 1, loss = 0.989034
2024-03-13 17:36:45,817 task DEBUG:epoch_1 start...
2024-03-13 17:36:45,854 task INFO:Epoch: 2, loss = 1.068610
2024-03-13 17:36:45,938 task INFO:Epoch: 2, loss = 1.034779
2024-03-13 17:36:46,025 task INFO:Epoch: 2, loss = 1.010359
2024-03-13 17:36:46,138 task INFO:Epoch: 2, loss = 0.988505
2024-03-13 17:36:46,241 task INFO:Epoch: 2, loss = 1.024976
2024-03-13 17:36:46,333 task INFO:Epoch: 2, loss = 1.035034
2024-03-13 17:36:46,418 task INFO:Epoch: 2, loss = 1.027665
2024-03-13 17:36:46,503 task INFO:Epoch: 2, loss = 1.021579
2024-03-13 17:36:46,587 task INFO:Epoch: 2, loss = 1.083258
2024-03-13 17:36:46,673 task INFO:Epoch: 2, loss = 0.990390
2024-03-13 17:36:46,755 task INFO:Epoch: 2, loss = 0.973349
2024-03-13 17:36:46,843 task INFO:Epoch: 2, loss = 1.024181
2024-03-13 17:36:46,926 task INFO:Epoch: 2, loss = 1.083340
2024-03-13 17:36:47,011 task INFO:Epoch: 2, loss = 1.020286
2024-03-13 17:36:47,093 task INFO:Epoch: 2, loss = 0.944689
2024-03-13 17:36:47,180 task INFO:Epoch: 2, loss = 0.998820
2024-03-13 17:36:47,271 task INFO:Epoch: 2, loss = 1.018507
2024-03-13 17:36:47,432 task INFO:Epoch: 2, loss = 1.002299
2024-03-13 17:36:47,539 task INFO:Epoch: 2, loss = 0.914322
2024-03-13 17:36:47,635 task INFO:Epoch: 2, loss = 0.918611
2024-03-13 17:36:47,733 task INFO:Epoch: 2, loss = 0.934468
2024-03-13 17:36:47,817 task INFO:Epoch: 2, loss = 0.860296
2024-03-13 17:36:47,904 task INFO:Epoch: 2, loss = 0.942639
2024-03-13 17:36:47,989 task INFO:Epoch: 2, loss = 0.940805
2024-03-13 17:36:48,079 task INFO:Epoch: 2, loss = 0.877340
